User ID;Name;Username;Bio;Location;Profile URL;Profile Image URL;Tweet Count;Follower Count;Following Count;Favorites Count;Media Count;Can DM;Created At;Verified;Blue Verified;Default Profile;Default Profile Image;Protected
1,17287E+18;Nama tidak boleh kosong;_fuckgovernment;think;España;https://x.com/_fuckgovernment;https://pbs.twimg.com/profile_images/1571453479507611648/ME-aKAma_normal.jpg;720;7;187;24120;28;Yes;Sat Sep 14 13:51:26 +0000 2019;No;No;Yes;No;No
1,83101E+18;Ade Teguh;AdeTeguh1627;;;https://x.com/AdeTeguh1627;https://pbs.twimg.com/profile_images/1831006129704566784/2KXuqIW2_normal.png;0;0;36;0;0;No;Tue Sep 03 16:27:34 +0000 2024;No;No;Yes;No;Yes
7,71376E+17;💤;cengfaiz__;nothing to lose-;Malang, Jawa Timur;https://x.com/cengfaiz__;https://pbs.twimg.com/profile_images/1572988763873353731/k8skfSsb_normal.jpg;74;27;35;340;0;No;Thu Sep 01 15:54:18 +0000 2016;No;No;Yes;No;No
1,83101E+18;Ramadhan Ramadhan;RamadhanRa31979;;;https://x.com/RamadhanRa31979;https://pbs.twimg.com/profile_images/1831006011693613056/29eto1HS_normal.png;0;0;2;0;0;No;Tue Sep 03 16:27:06 +0000 2024;No;No;Yes;No;Yes
1,49034E+18;Dzikry;hassindzikryy;sɪˈvɪl.jən;;https://x.com/hassindzikryy;https://pbs.twimg.com/profile_images/1779344464584331264/P8oelrv8_normal.jpg;86;0;208;563;0;No;Sun Feb 06 15:10:46 +0000 2022;No;No;Yes;No;No
49033198;Widya 🍉;kacamataputih;Sí, me gustan las películas. ¿Qué, a ti no?;;https://x.com/kacamataputih;https://pbs.twimg.com/profile_images/1622498051985379328/w40bCzR7_normal.jpg;39175;755;348;13546;368;No;Sat Jun 20 15:33:27 +0000 2009;No;No;No;No;No
310350319;bang dipa;DMubaroq;Earth without art just eh |;In your pleasure;https://x.com/DMubaroq;https://pbs.twimg.com/profile_images/1294109530314268672/5bT5T9jg_normal.jpg;8813;548;500;1411;55;No;Fri Jun 03 16:04:18 +0000 2011;No;No;No;No;No
1,82594E+18;my ohhh my……;red444code;;;https://x.com/red444code;https://pbs.twimg.com/profile_images/1825936932020563969/EbYMycKl_normal.jpg;25;0;1;22;0;No;Tue Aug 20 16:43:32 +0000 2024;No;No;Yes;No;No
195022435;eva (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧;evangelinthesky;NSFW;;;;;;;;;;;;;;;
1,831E+18;wahid abdul;wahidabdul16863;;;https://x.com/wahidabdul16863;https://pbs.twimg.com/profile_images/1831004677582004224/DRAGDXe4_normal.png;0;0;4;0;0;No;Tue Sep 03 16:21:47 +0000 2024;No;No;Yes;No;No
1,73167E+18;Raeni;Raeni5227350139;;;https://x.com/Raeni5227350139;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;0;0;8;0;0;No;Mon Dec 04 13:26:09 +0000 2023;No;No;Yes;Yes;No
1,81764E+18;bnextt;bnextt;;;https://x.com/bnextt;https://pbs.twimg.com/profile_images/1817639025991413760/WFQOuLhs_normal.jpg;0;0;20;1;0;No;Sun Jul 28 19:09:11 +0000 2024;No;No;Yes;No;Yes
1,831E+18;TAUPIK HIDAYAT;TAUPIKH0102;;;https://x.com/TAUPIKH0102;https://pbs.twimg.com/profile_images/1831003351535759360/lbSFnElk_normal.jpg;0;0;29;0;0;Yes;Tue Sep 03 16:15:04 +0000 2024;No;No;Yes;No;No
1,831E+18;berekecet;berekecet120052;;;https://x.com/berekecet120052;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;0;0;6;1;0;No;Tue Sep 03 16:17:36 +0000 2024;No;No;Yes;Yes;No
1,83083E+18;sun interest;InterestSu57011;;;https://x.com/InterestSu57011;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;0;0;3;5;0;No;Tue Sep 03 04:33:26 +0000 2024;No;No;Yes;Yes;No
1,831E+18;Dalison kogoya Maebanak;maebanak69181;;;https://x.com/maebanak69181;https://pbs.twimg.com/profile_images/1831002066506137600/K5swIwcQ_normal.png;0;0;59;0;0;No;Tue Sep 03 16:11:25 +0000 2024;No;No;Yes;No;No
938921862;H E Z E R ツ;yudhasaktip_;santuy..;BYL - SOC;https://x.com/yudhasaktip_;https://pbs.twimg.com/profile_images/1395626411713458176/2G1xzx5n_normal.jpg;1248;228;54;100;6;Yes;Sat Nov 10 12:14:48 +0000 2012;No;No;No;No;Yes
1,831E+18;himawari;himawar01768776;;;https://x.com/himawar01768776;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;0;0;9;0;0;No;Tue Sep 03 16:14:21 +0000 2024;No;No;Yes;Yes;No
1,56422E+18;Tamara;tinysugarpop;;;https://x.com/tinysugarpop;https://pbs.twimg.com/profile_images/1564216823343562753/8mAlQ8wa_normal.jpg;11;0;41;222;0;Yes;Mon Aug 29 11:42:06 +0000 2022;No;No;Yes;No;No
